"Dataset Index","Dose","N","Effect"
"ID404",625,2,2
"ID405",0,49,4
"ID405",6.25,49,19
"ID405",20,48,32
"ID405",62.5,50,42
"ID405",200,50,43
"ID405",625,79,69
"ID406",0,50,4
"ID406",3.7,50,4
"ID406",14.7,50,28
"ID406",44.7,50,49
"ID407",0,100,3
"ID407",2.5,100,4
"ID407",12.5,100,40
"ID407",25,100,67
"ID408",0,30,0
"ID408",105,29,24
"ID408",210,30,30
"ID408",420,30,30
"ID410",0,10,0
"ID410",3.4,10,0
"ID410",17,10,9
"ID410",34,10,10
"ID411",0,10,0
"ID411",3.4,10,0
"ID411",17,10,8
"ID411",34,10,10
"ID412",0,10,0
"ID412",3.4,10,0
"ID412",17,10,9
"ID412",34,10,10
"ID413",0,10,0
"ID413",3.4,10,0
"ID413",17,10,10
"ID413",34,10,10
"ID414",0,10,0
"ID414",3.4,9,0
"ID414",17,8,8
"ID414",34,10,10
"ID415",0,9,0
"ID415",3.4,9,0
"ID415",17,10,10
"ID415",34,9,9
"ID428",0,18,0
"ID428",25,20,0
"ID428",100,18,12
"ID428",200,19,15
"ID429",0,310,302
"ID429",3,271,263
"ID429",10,255,232
"ID429",30,360,336
"ID430",0,12,0
"ID430",0.2,12,0
"ID430",1.5,12,1
"ID430",10,12,12
"ID431",0,310,31
"ID431",342,260,27
"ID431",869,291,49
"ID431",2598,323,58
"ID432",0,50,23
"ID432",150,50,30
"ID432",302,50,34
"ID432",604,50,42
"ID433",0,48,15
"ID433",150,49,19
"ID433",302,49,36
"ID433",604,50,47
"ID434",0,50,0
"ID434",302,50,0
"ID434",604,49,8
"ID434",1208,49,30
"ID435",0,50,0
"ID435",302,50,5
"ID435",604,49,25
"ID435",1208,50,44
"ID436",0,50,23
"ID436",150,50,30
"ID436",302,50,34
"ID436",604,50,42
"ID437",0,48,15
"ID437",150,49,19
"ID437",302,49,36
"ID437",604,50,47
"ID438",0,50,0
"ID438",302,50,0
"ID438",604,49,8
"ID438",1208,49,30
"ID439",0,50,0
"ID439",302,50,5
"ID439",604,49,25
"ID439",1208,50,44
"ID440",0,12,8
"ID440",0.5,12,9
